City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,tazacorte,28.629,-17.9293,301.57,26,0,4.47,ES,1697082717
147,margaret river,-33.95,115.0667,292.93,42,0,2.68,AU,1697082707
148,smithers,54.7804,-127.1743,280.33,100,20,0.0,CA,1697082717
149,stanley,54.868,-1.6985,276.36,95,0,1.54,GB,1697082718
150,kavaratti,10.5669,72.642,301.74,68,100,3.01,IN,1697082718
151,mount isa,-20.7333,139.5,307.02,20,98,3.09,AU,1697082718
152,vadso,70.0744,29.7487,276.24,70,75,13.89,NO,1697082718
153,kanash,55.5086,47.4956,276.71,67,98,9.2,RU,1697082719
154,uruzgan,32.8333,66.0,294.29,15,0,2.57,AF,1697082719
155,chita,52.0333,113.55,282.09,50,0,2.0,RU,1697082719
156,pacific grove,36.6177,-121.9166,289.83,82,0,2.24,US,1697082493
157,osceola,28.042,-81.1242,299.72,93,100,4.35,US,1697082720
158,ribeira grande,38.5167,-28.7,292.47,89,37,3.13,PT,1697082720
159,arraial do cabo,-22.9661,-42.0278,295.25,90,9,10.29,BR,1697082426
160,vorgashor,67.5833,63.95,272.9,81,99,1.31,RU,1697082721
161,howrah,22.5892,88.3103,306.15,62,0,0.0,IN,1697082721
162,marka,1.7159,44.7717,299.49,83,61,3.9,SO,1697082722
163,sur,22.5667,59.5289,304.84,45,0,1.49,OM,1697082139
164,bethanie,-26.4833,17.15,285.31,51,17,2.62,NA,1697082722
165,arkhangel'sk,64.5401,40.5433,276.38,96,100,5.57,RU,1697082723
166,cartagena,10.3997,-75.5144,300.94,89,0,1.54,CO,1697082443
167,ilulissat,69.2167,-51.1,269.16,74,100,0.0,GL,1697082723
168,augusto correa,-1.0217,-46.635,298.57,84,0,1.93,BR,1697082724
169,sisimiut,66.9395,-53.6735,271.06,73,91,3.76,GL,1697082724
170,whitehorse,60.7161,-135.0538,278.58,86,40,1.54,CA,1697082724
171,port alfred,-33.5906,26.891,291.03,97,100,1.79,ZA,1697082725
172,saint-pol-de-leon,48.6833,-3.9833,291.65,97,100,5.58,FR,1697082725
173,si bun rueang,16.9667,102.2833,302.36,68,60,2.5,TH,1697082725
174,abong mbang,3.9833,13.1833,292.27,99,82,0.6,CM,1697082726
175,north bend,43.4065,-124.2243,286.96,94,100,2.06,US,1697082726
176,sikonge,-5.6333,32.7667,294.23,48,100,1.46,TZ,1697082726
177,colares,38.7992,-9.4469,295.79,72,13,3.13,PT,1697082726
178,bay roberts,47.5999,-53.2648,286.11,96,100,1.44,CA,1697082727
179,saldanha,-33.0117,17.9442,286.17,93,52,4.18,ZA,1697082711
180,tsiombe,-25.3,45.4833,295.67,70,91,5.35,MG,1697082727
181,kununurra,-15.7667,128.7333,309.14,34,68,3.6,AU,1697082728
182,susuman,62.7833,148.1667,260.92,77,76,0.89,RU,1697082728
183,eket,4.6412,7.9209,297.7,92,98,1.04,NG,1697082728
184,nuriootpa,-34.4833,139.0,290.09,35,13,9.27,AU,1697082598
185,aksuat,48.7167,83.7,292.59,31,76,4.0,KZ,1697082730
186,lampazos de naranjo,27.0167,-100.5167,295.58,82,0,4.4,MX,1697082730
187,ukhta,63.5671,53.6835,272.9,93,100,5.36,RU,1697082730
188,correntina,-13.3433,-44.6367,296.99,38,3,2.02,BR,1697082731
189,mossel bay,-34.1831,22.146,288.11,91,99,4.21,ZA,1697082731
190,tura,25.5198,90.2201,301.18,69,0,0.85,IN,1697082731
191,tual,-5.6667,132.75,299.76,81,77,5.61,ID,1697082732
192,ulladulla,-35.35,150.4667,303.02,25,98,4.28,AU,1697082736
193,opuwo,-18.0607,13.84,291.49,50,90,1.32,NA,1697082736
194,lakatoro,-16.0999,167.4164,299.27,69,100,6.08,VU,1697082736
195,la'ie,21.6477,-157.9253,302.13,71,95,2.24,US,1697082147
196,pasuquin,18.3328,120.6177,303.12,84,75,5.66,PH,1697082737
197,samraong,12.4526,105.5873,304.72,63,65,1.77,KH,1697082737
198,coahuayana de hidalgo,18.7,-103.6583,297.56,93,92,1.33,MX,1697082737
199,okha,53.5739,142.9478,284.09,71,100,8.3,RU,1697082738
200,saint-denis,48.9167,2.3333,292.12,66,0,3.09,FR,1697082738
201,puerto tirol,-27.3722,-59.0821,290.15,72,100,8.75,AR,1697082738
202,vyaz'ma,55.2104,34.2951,282.37,69,100,8.82,RU,1697082739
203,elliot lake,46.3834,-82.6331,274.58,91,7,2.03,CA,1697082739
204,singkil,-7.9855,111.4161,307.25,32,74,3.72,ID,1697082739
205,castillos,-34.1667,-53.8333,280.5,63,68,5.75,UY,1697082740
206,kolokani,13.5728,-8.0339,298.99,63,97,3.47,ML,1697082740
207,hamilton,39.1834,-84.5333,288.0,83,100,0.89,US,1697082468
208,kundiawa,-6.0167,144.9667,292.63,93,99,0.89,PG,1697082741
209,chapaev,50.2,51.1667,276.86,69,10,2.25,KZ,1697082741
210,petauke,-14.2426,31.3253,295.18,39,100,2.89,ZM,1697082742
211,labrador city,52.9463,-66.9114,281.1,93,100,2.06,CA,1697082742
212,verkhnevilyuysk,63.4453,120.3167,279.23,54,76,5.81,RU,1697082742
213,tamanrasset,22.785,5.5228,292.1,26,0,2.57,DZ,1697082743
214,zuni pueblo,35.0725,-108.8506,290.5,48,0,11.01,US,1697082743
215,hobyo,5.3505,48.5268,300.17,78,71,4.41,SO,1697082744
216,pertek,38.8663,39.3268,277.91,57,0,1.41,TR,1697082744
217,nema,57.5067,50.5011,274.23,81,100,7.16,RU,1697082744
218,sarh,9.1429,18.3923,298.1,100,0,0.0,TD,1697082745
219,shakhtersk,48.0625,38.5167,278.38,60,66,2.44,UA,1697082745
220,suda,59.1525,37.5582,282.21,90,100,7.23,RU,1697082745
221,karratha,-20.7377,116.8463,309.22,21,13,6.2,AU,1697082746
222,kamaishi,39.2667,141.8833,291.85,49,4,0.05,JP,1697082746
223,bubaque,11.2833,-15.8333,300.55,82,99,3.34,GW,1697082746
224,calimanesti,45.2333,24.3333,282.42,71,8,1.47,RO,1697082746
225,uray,60.1247,64.7758,275.86,83,75,1.79,RU,1697082747
226,peace river,56.2501,-117.286,284.32,93,100,1.54,CA,1697082747
227,mana,5.6592,-53.7767,300.11,82,0,4.12,GF,1697082748
228,nguigmi,14.2495,13.1092,303.1,30,72,5.34,NE,1697082748
229,port blair,11.6667,92.75,304.17,74,40,1.54,IN,1697082748
230,macapa,0.0389,-51.0664,301.14,78,20,3.6,BR,1697082515
231,kalmunai,7.4167,81.8167,300.6,76,95,2.78,LK,1697082727
232,lamu,-2.2717,40.902,296.27,82,93,2.87,KE,1697082749
233,thunder bay,48.4001,-89.3168,281.14,100,100,1.54,CA,1697082749
234,minas de marcona,-15.2119,-75.1103,286.75,84,99,5.64,PE,1697082720
235,zhezqazghan,47.7833,67.7667,279.47,93,100,5.0,KZ,1697082750
236,saipan,15.1355,145.701,301.54,94,100,7.72,MP,1697082750
237,cannonvale,-20.2833,148.7,297.81,62,85,7.78,AU,1697082751
238,kamina,-8.7386,24.9906,291.28,96,98,1.73,CD,1697082751
239,inhambane,-23.865,35.3833,297.14,94,20,4.63,MZ,1697082752
240,galdar,28.147,-15.6502,298.43,50,0,4.08,ES,1697082752
241,culebra,18.303,-65.301,301.58,94,58,4.02,PR,1697082752
242,berdigestyakh,62.0989,126.6992,278.87,63,79,4.92,RU,1697082753
243,woodward,36.4337,-99.3904,295.72,78,0,11.83,US,1697082753
244,san antonio de pale,-1.4014,5.6325,298.38,84,100,4.28,GQ,1697082161
245,isiro,2.7739,27.616,291.61,96,100,0.78,CD,1697082754
246,boa vista,2.8197,-60.6733,303.14,54,0,3.09,BR,1697082754
247,miri,4.4148,114.0089,303.23,70,20,1.54,MY,1697082754
248,kingston,17.997,-76.7936,302.68,83,20,4.63,JM,1697082730
249,ebon,4.582,168.6964,302.21,67,15,0.68,MH,1697082755
250,coquimbo,-29.9533,-71.3436,286.0,82,0,1.03,CL,1697082718
251,korsakov,46.6328,142.7813,290.06,63,15,4.92,RU,1697082755
252,keflavik,64.0049,-22.5624,276.39,87,100,8.75,IS,1697082756
253,tralee,52.2704,-9.7026,282.54,89,82,2.07,IE,1697082756
254,pokhara,28.2333,83.9833,297.17,66,0,1.75,NP,1697082757
255,kanniyakumari,8.0833,77.5667,301.15,75,98,5.22,IN,1697082757
256,chibougamau,49.9168,-74.3659,279.94,93,100,3.09,CA,1697082758
257,bamboo flat,11.7,92.7167,304.2,74,40,1.54,IN,1697082759
258,st. john's,47.5649,-52.7093,285.91,96,75,1.54,CA,1697082692
259,shenkursk,62.1091,42.896,275.9,73,100,4.02,RU,1697082760
260,kayangel,8.0823,134.7173,300.97,82,72,9.0,PW,1697082760
261,fortaleza,-3.7227,-38.5247,300.22,74,20,5.66,BR,1697082761
262,victorica,-36.2151,-65.4359,281.61,29,0,4.13,AR,1697082761
263,huilong,31.8111,121.655,294.69,68,82,4.46,CN,1697082761
264,tanjung pinang,0.9167,104.45,305.17,53,45,4.69,ID,1697082762
265,broome,42.2506,-75.833,283.82,84,100,0.69,US,1697082762
266,porto novo,6.4965,2.6036,297.93,91,92,1.87,BJ,1697082762
267,jamaame,0.0697,42.745,299.71,78,81,3.85,SO,1697082763
268,bonthe,7.5264,-12.505,297.76,90,100,2.19,SL,1697082763
269,kattivakkam,13.2167,80.3167,304.86,74,75,1.8,IN,1697082763
270,paranagua,-25.52,-48.5092,292.41,98,100,1.21,BR,1697082757
271,luwuk,-0.9516,122.7875,304.4,54,59,4.16,ID,1697082764
272,wanning,18.8003,110.3967,300.44,84,91,6.38,CN,1697082764
273,aqaba,29.5267,35.0078,295.07,64,0,2.57,JO,1697082764
274,jogeva,58.7467,26.3939,282.06,81,100,6.42,EE,1697082765
275,ashland,40.8167,-82.2665,285.45,86,66,2.9,US,1697082765
276,dompu,-8.5356,118.4622,311.3,31,38,0.53,ID,1697082765
277,richfield,44.8833,-93.283,284.12,72,0,4.12,US,1697082766
278,namdrik,5.5994,168.1028,301.73,73,37,1.87,MH,1697082766
279,bryne,58.7354,5.6477,283.14,85,75,13.89,NO,1697082766
280,katsuura,35.1333,140.3,294.46,56,34,4.54,JP,1697082766
281,mil'kovo,55.6078,37.7956,280.43,73,100,8.95,RU,1697082767
282,port kembla,-34.4667,150.9,308.29,48,79,6.74,AU,1697082767
283,ciudad bolivar,8.1222,-63.5497,300.53,74,32,3.91,VE,1697082767
284,avarua,-21.2078,-159.775,297.18,73,100,5.66,CK,1697082712
285,carnarvon,-24.8667,113.6333,299.27,45,36,8.42,AU,1697082710
286,kitaibaraki,36.7833,140.75,293.79,59,55,2.28,JP,1697082768
287,aykhal,66.0,111.5,274.86,71,100,11.62,RU,1697082769
288,moreira sales,-24.0622,-53.0069,297.26,72,77,3.22,BR,1697082769
289,adria,45.0564,12.0578,289.83,83,6,1.16,IT,1697082769
290,aswan,24.0934,32.907,296.76,43,0,3.09,EG,1697082770
291,byron bay,-28.65,153.6167,302.99,57,0,7.94,AU,1697082266
292,nyurba,63.2842,118.3319,278.77,54,99,5.36,RU,1697082771
293,zaozersk,69.4005,32.4476,274.06,96,100,11.68,RU,1697082771
294,hasaki,35.7333,140.8333,295.37,50,53,3.98,JP,1697082771
295,prokuplje,43.2342,21.5881,279.75,80,3,0.92,RS,1697082654
296,lethem,3.3803,-59.7968,301.13,43,3,2.44,GY,1697082772
297,mount gambier,-37.8333,140.7667,288.48,55,14,6.73,AU,1697082772
298,agogo,6.8,-1.0819,294.53,99,96,1.67,GH,1697082773
299,sakaiminato,35.55,133.2333,296.11,53,40,5.14,JP,1697082773
300,kotli,33.5167,73.9167,299.8,25,0,0.45,PK,1697082773
301,isangel,-19.55,169.2667,294.21,94,100,0.0,VU,1697082774
302,nova sintra,14.8667,-24.7167,297.02,71,93,4.6,CV,1697082774
303,genhe,50.7833,121.5167,288.21,33,13,4.52,CN,1697082774
304,amparafaravola,-17.5833,48.2167,292.14,76,45,0.73,MG,1697082775
305,tromso,69.6496,18.957,275.16,69,100,6.17,NO,1697082775
306,kurakhovo,47.9852,37.2821,277.25,56,21,3.64,UA,1697082775
307,praia da vitoria,38.7333,-27.0667,291.35,94,20,4.06,PT,1697082775
308,labytnangi,66.6572,66.4183,274.13,83,100,1.39,RU,1697082776
309,contamana,-7.3333,-75.0167,299.36,54,79,0.6,PE,1697082776
310,nuku'alofa,-21.1333,-175.2,298.34,61,40,5.66,TO,1697082703
311,kosh-agach,50.0,88.6667,279.99,45,28,0.45,RU,1697082777
312,sheksna,59.21,38.5107,282.13,90,100,8.24,RU,1697082777
313,kirovsk,48.6375,38.6428,274.68,57,76,3.65,UA,1697082777
314,kapa'a,22.0752,-159.319,301.14,77,20,5.14,US,1697082778
315,ta`u,-14.2336,-169.5144,300.38,82,17,6.67,AS,1697082778
316,kurumkan,54.3,110.3,283.22,60,39,0.45,RU,1697082778
317,quchan,37.106,58.5095,286.51,73,54,3.87,IR,1697082778
318,battambang,13.1027,103.1982,303.58,71,100,1.49,KH,1697082779
319,al jawf,29.5,38.75,292.33,59,0,3.63,SA,1697082779
320,girvan,55.2426,-4.8555,280.15,65,82,2.73,GB,1697082780
321,behshahr,36.6923,53.5526,290.12,96,100,5.27,IR,1697082780
322,auki,-8.7676,160.7034,301.72,76,96,1.72,SB,1697082785
323,mayo-belwa,9.05,12.05,297.82,76,97,0.63,NG,1697082785
324,la ronge,55.1001,-105.2842,284.29,66,0,3.6,CA,1697082772
325,okeechobee,27.2439,-80.8298,298.72,97,100,2.06,US,1697082786
326,natal,-5.795,-35.2094,298.27,88,40,4.12,BR,1697082786
327,tobelo,1.7284,128.0095,303.2,61,100,4.08,ID,1697082786
328,battagram,34.6772,73.0233,298.12,21,0,1.17,PK,1697082787
329,reggane,26.7158,0.1714,299.17,25,0,9.34,DZ,1697082787
